mol1,mol2,y
CCC,CCC,2.6543154710648116
CC=C(CC)CC=1CCCCC1CCc1ccccc1CC,CCC(=O)C,8.652289473753154
CCC=1CCCCC1C(CCC)C(=O)CCC,C(CC)C(CC)(CC)CCCC,4.971050985822119
CCC,CC(CCC)CC(CCC)CCCCCC(CCC)C,8.489443334992508
CCCC(O)(CCC)CC(=O)C,C(CC)C=1CCCCC1C=C,1.2414052175829884
CCCC(CC)C,CCC,5.611173889286045
C(=O)(CC)C(CC)C(CCC)C,CCCc1ccccc1CC,2.7544775036413593
CCC(CCC)CC(=O)C,C(=O)C,2.273500646242406
CC=C=C,CCCCC=1CCCCC1C,1.9503334019360365
C(CCC)C(O)Cc1ccccc1C,CCCCc1ccccc1C,6.7499805826672565
C(CC)C=C,CCc1ccccc1CC,6.208961025709867
CCCC,CCCCCC,6.917284796962331
CCCC(CC)CCCCCC=CCCCC,C(=O)C(CC)CCC,3.2407538564476637
CCC,CCC(CCC)CCCC(=O)Cc1ccccc1C(O)Cc1ccccc1C,3.1482104079523623
C=CC,CCCC(CCC)CCCc1ccccc1CCCC=1CCCCC1C,6.997661939349913
C(CCC)C,CCC=C,4.056488756804666
CC(CCC)CC=CCC,CCC,4.354392949462019
CCCCCC(CC)C,C=CC(CCC)=CCC(CCC)CC,6.379745756620759
C(=O)C(=O)CCC(O)CC,CCC,5.219530194901934
CC(=O)CCC=1CCCCC1CCCCC(=O)CCCC=1CCCCC1CCC,CC=C,3.8459111871913523
C(=O)C=1CCCCC1C,C=CCCCC=1CCCCC1CC,2.7931491146138274
CCCCC,CC=1CCCCC1c1ccccc1CCC,6.069613495174559
C=CC,C(O)C=1CCCCC1CCCCC=1CCCCC1C(CCC)c1ccccc1C(CCC)C,5.496398022006016
CCC,CCC(CCC)CC,2.9336841504017603
CC(O)c1ccccc1CCC,CCC=1CCCCC1CCC(CCC)C(O)CCC,8.375562327406406
C(O)(O)C,CC=CC,7.4533941947799995
CCCC(CC)CCC=1CCCCC1Cc1ccccc1C(CCC)C(CC)CC,CCC=1CCCCC1C,3.4215783820044257
CCC,CC=1CCCCC1c1ccccc1C,8.273944415443102
C(CCC)C,C(=O)c1ccccc1CCC(O)CCC,2.8426603850970826
CC(O)CCCC,CCCC,6.894148596940682
C(CC)CC(O)(O)C(=O)C,CC=1CCCCC1CCC,7.339118685803867
CCC,CCCC,3.434135656526977
CCC,CCCC,5.163038200896717
Cc1ccccc1Cc1ccccc1CCCCC=1CCCCC1CC(O)CC,CCC,9.276218559267774
C(=O)CC(CC)(CC)CCCCCC,CC(O)CCCC=1CCCCC1Cc1ccccc1CC(CCC)C,1.087569998264876
Cc1ccccc1Cc1ccccc1C=1CCCCC1CCC,C(CCC)C,6.054450646666825
CCC,CCCCC,8.956892493214342
CCCCCCC,CCC(=O)c1ccccc1C,7.371979178430627
CCC,CCCC,1.3319112967358329
CC=1CCCCC1CCCc1ccccc1c1ccccc1C(=O)CCCC,CCC,6.561985383696884
CCCc1ccccc1CC,CCCCCCCCC=1CCCCC1C=1CCCCC1CCCCC,6.089685189022396
CCCCCCC,CCCC=1CCCCC1CCC(=O)CCCC(O)CCCc1ccccc1C(CC)C=C,2.0901743646495006
C(O)CCC=1CCCCC1CC=1CCCCC1C,C(CCC)(=O)CC(=O)CCC,6.163188807109005
CCCCC(CC)(CC)CCC=C,C(=O)c1ccccc1CC=1CCCCC1C(CC)CCCC(CC)C,9.396008671736483
CCCCC(CC)CCCCCC(CCC)C,CCCCC,2.1699444034918067
C(=O)CCCC=1CCCCC1C,CC=C(CC)C,4.765958653844356
CCCCCCCCCCCC,CCC(CC)C,3.124016559431378
CC(CC)C=1CCCCC1C(=O)C(O)=C,C(O)CC,5.119833262463728
CC=1CCCCC1CCC(CC)CC,CC(CCC)CCCCC(CC)C,1.556255938789759
CCCCCCC,C(O)CCC=1CCCCC1C=CCCCC,2.1254251055388114
C(=O)c1ccccc1C,C(O)CCCCC,7.690902992913749
CCC=1CCCCC1CC,CCC,9.171009868147687
CCC,C(O)C(CCC)C,5.160126318201059
CCC,C(O)CCCC(O)C,1.8803941303545457
C(=O)C=1CCCCC1C,CCCCCCC=CC,2.8236396937597323
CCCCCCCCCc1ccccc1CCCC=1CCCCC1CCCCCC,CC(CC)(CC)C=1CCCCC1CC,7.398111341336038
CCCCCC=1CCCCC1CCCCc1ccccc1C(CCC)CC(O)C,CCC,2.7809883984773993
CCCCCCC,C=C,8.050725377090412
C(O)C=1CCCCC1C=1CCCCC1C,C(O)(CC)CCCC,1.434366869766019
CC=CCC,CCCC=1CCCCC1CC,6.925599081190831
CC(O)CCCCCC=1CCCCC1CC(O)CCCC,CCCC,3.346273445541984
CCC=C,CC=1CCCCC1C,5.605842506529315
CCC,CCCC(CC)CCC(CCC)CC=CC,5.960882561812234
C(CCC)C=1CCCCC1C,C(CC)CCC(O)C=CCC,2.3190377940187137
CCCCCCCCC,CCC,8.672643520625318
C(CCC)CCCC(CC)c1ccccc1CC,CC(O)(CCC)C(=O)C(=O)CCCCC,4.378113964912855
CCC(CC)C(CCC)C,CC(CCC)c1ccccc1C,2.2141727936568802
C(CC)C,C(CC)CCC=CC,4.092324586655772
CC(=O)C(CCC)CC=CCc1ccccc1C,C(O)CC(CC)CCCCC(CCC)c1ccccc1Cc1ccccc1CCC(CCC)CC,4.481192641479334
CC(CCC)CC,C(CCC)C,5.64146817056463
CCCC(CC)CC=1CCCCC1CC,CCC,6.796187263331516
CCCCCCCC,C(CCC)Cc1ccccc1CCC(=O)C=1CCCCC1C=1CCCCC1C=C,4.855043844350026
C(CC)C=1CCCCC1CC,CCCc1ccccc1CCCC,4.602486079117587
CCCC,CCC(=O)C,4.527206899116889
CCC,C(CC)C,1.32229757355522
CCC(=O)C,CCCCC,1.4836310473847978
Cc1ccccc1C=CC=1CCCCC1C,CC(CCC)C,4.650163386851647
CCCC,CCCCc1ccccc1c1ccccc1C,3.36438478651537
C(O)CCC,CCCCc1ccccc1CCCCCCCCC,4.29331603997878
CC=C,C(CC)CC,6.83937338505284
C(O)(CC)c1ccccc1CCCC,C(CCC)CCCCC(O)(CC)C=1CCCCC1C(CC)C,6.008598809454588
CCC(=O)C=1CCCCC1C,CCC,9.063612055206203
CCC,CCC,3.175050526691438
CCC,CCC=CC(=O)C(=O)CCC(=O)CC,4.141705657789759
C(CC)C=1CCCCC1C(O)C(CC)C,CCC=1CCCCC1C(CC)C,6.269697627370692
C=C(CCC)CCCCCCC,CCC,8.09096844614606
CCC,CC=CCC,6.637777179862977
C(O)c1ccccc1C,C(O)=CCC(=O)C,7.388195044714342
CCCCC(CCC)=CCC(=O)CC,CCC,2.398495005904445
CCC,CC=1CCCCC1CCc1ccccc1C,4.677733730045404
CCC,CCCCC,4.144835527170727
C(CCC)C,CCCC,4.760774834565812
CC(=O)C,C(=O)CC=1CCCCC1CC,1.8508522882129177
C(CC)C=1CCCCC1CC(O)CCCCCCC=1CCCCC1CC,CCCCC,3.0382812103600303
CC=1CCCCC1c1ccccc1Cc1ccccc1CC,C(=O)CC,8.983652652725693
CCC,CCC(CC)C,2.8392800097140687
CCC,CCCc1ccccc1CC(=O)CC(=O)C,5.039094296886023
CC=1CCCCC1c1ccccc1CC(CC)CCCCC,CCC,7.40260765828281
CCCCCCC,CCCC(O)C,1.6157133692837629
CCCC(=O)C(=O)C(CC)CCC,CCC,2.058470981122292
CCCCC=1CCCCC1CCC,CCC,6.234207670361073
CCCC(=O)C(CCC)(O)C(O)CC(O)C,CCC(=O)CCC,9.534138602757354
C(=O)C,CCC,2.945926959658289
CCC(CC)C,CCC,2.569647662873751
CCCC(O)Cc1ccccc1CC(O)C(CCC)C(=O)CC,CC(O)CC,5.007091872531145
C(CC)CC,CCCCCCCC(CC)c1ccccc1C=1CCCCC1CCC,6.348921770698086
C=CCCCC(=O)CCC=1CCCCC1CCCC,CCC,2.325431445366191
CCCCC,Cc1ccccc1CC(CC)C,4.149691943945271
CC(CC)CCC,CCC,5.338130580941033
CCC,CC(=O)CCCCCCc1ccccc1CC,9.191956620205701
CCC(=O)CCCCC(O)CCC,CCCC,4.222222833304477
CCc1ccccc1CCC,CCC,3.124084634685114
CCC,CCC(CC)CC(CC)C,5.069779243994175
CCC(=O)C(CCC)CCC(O)C(CCC)CC,C(O)C=1CCCCC1CCC,3.4697116594540436
C(=O)CC,CCCCC,8.895787188604203
CCC(CCC)CC,CCCCCC,5.763149425855984
CCCC(CCC)CC(=O)C,CC(CC)CCC(O)CC(=O)CC(=O)C,6.4410907836534195
C(O)C(CC)CC,C(=O)CC,6.201728174816384
CCC(CCC)CC,CC(CCC)C,5.365648344658803
C(O)C,CCC,6.111232984883544
CCC,C(CCC)C=Cc1ccccc1CCCCCC,9.161897506399477
CCC,CC(=O)C(=O)C,8.938424485934533
CCCC,CC(O)CC,1.6117978973113831
CCC,CC(CCC)C,3.83879995581713
CCCC,C(=O)C(O)CCCC,9.863551924590364
C(O)CCC(CC)C,CCC,8.27510131670277
CC(=O)CC,CCCCCC(O)CCC=CCCC,3.3747849954391533
C(=O)CC,C(O)=CCCC,2.110400259165514
CCCC(CC)(O)C,C(=O)C,2.14835536221766
CC(O)CCCCC,CC(=O)C,2.701855738814195
Cc1ccccc1C,CCCc1ccccc1CC(CC)CC,3.514198452249889
CCC,C=CCC,9.60119569750097
CC(=O)C,CCCCCCCC=CC,7.576424833392607
C(CC)C,CC(=O)Cc1ccccc1C,1.382734167861723
CC(=O)CC,CCCC,2.7298811251196633
CCC=1CCCCC1CCCC,CC=1CCCCC1CCCC=CCC=1CCCCC1CC(CCC)CC,8.0698562937397
C(CCC)=Cc1ccccc1C,CCCC,3.6298639502710888
CCC,CCCCCCCC,6.363731026921212
C(CCC)CCC,CCC=1CCCCC1C,1.3545338466646344
CCC,CCC(CC)CCCC,4.7644476305406815
C(CC)(=O)CC=1CCCCC1c1ccccc1CC,CCCCCC,9.296759291488494
CC=1CCCCC1CC,C(CCC)CCC(CC)CCCC,2.5048186514801927
CCCC,CC=1CCCCC1C,6.353471796258173
CC(CC)CCC,C(CC)C,6.476982896588858
CCC(CC)(O)CCC,CCCC=1CCCCC1CCC,6.762534099541535
CCCC,C=C,9.960391874869481
CCC=1CCCCC1c1ccccc1C,C(O)C=1CCCCC1C,7.084618787576817
CCCC,CC(=O)CC,7.60161515538635
Cc1ccccc1Cc1ccccc1CCC(CCC)C=C(CC)CC,CCCC,7.911091586590152
CCCCCC,CCCC=C,9.039551565295994
CCCCCCCC,CCCCCC,3.5076508788605896
CCCCCCCCC,C=CCC(CCC)CC(=O)CC(CCC)(O)CCc1ccccc1C,6.639040697206939
CC(=O)C,CC=1CCCCC1C,7.365436962270004
CCC=1CCCCC1c1ccccc1C(CC)CCC,Cc1ccccc1C,6.379925484944103
C(=O)CC,CCCCC(O)CC(=O)C,5.288524691135668
CCC,CCCCc1ccccc1C=1CCCCC1CCCCc1ccccc1C,3.7927524865395768
C(CCC)C=CCC,CCC,5.04034027905813
CCC,CCCCCC(O)CCCCCC,3.235421396722292
C(CCC)(CCC)C=1CCCCC1C,C=CCCCC,1.457627276221226
CCc1ccccc1CC(CC)(CC)CC=Cc1ccccc1CCC,CC=1CCCCC1CC,1.6905393515778067
CCCCc1ccccc1CCCC,CCCCC(=O)C(CCC)C,4.243182751006904
C(CCC)CCCC,Cc1ccccc1C,3.435277832357702
CCC,CC=1CCCCC1C,8.416383699932345
CC(CC)CC(O)C,C(CCC)CC(CCC)CC,3.635526614610084
CC=CCC(=O)C(CCC)CC,CCC,6.611840673604223
CCC,CCC,8.871537140218239
CCC(CCC)C,CC=C,5.284645114391749
CCCCCCCCCC,CC=1CCCCC1C=CC,9.57124347599395
CCCC,CC(O)CC,4.281420468956861
CC(CC)C,C(O)(CC)CCCCCC,8.123680948979766
C(O)(=O)CCCC,CCCC(CC)CCCCCC,8.514883291519926
CCC=1CCCCC1c1ccccc1C=1CCCCC1CCCCCC(CCC)C(O)CC,CC(CCC)CCC=1CCCCC1CCCC,8.90644584173043
CCc1ccccc1C(CC)Cc1ccccc1CCc1ccccc1CCC,CCCCC=1CCCCC1c1ccccc1C,2.2819368244216087
CC(CC)C=1CCCCC1CC(O)C,Cc1ccccc1CCCC(=O)CCC(CCC)C,5.174040346356264
CCC,CCCCCCC=1CCCCC1CCC(O)C,6.94865664657741
CCC,CCC(O)c1ccccc1CCC,9.356813011045837
C(CC)CCCC=1CCCCC1c1ccccc1CC=C,CCCCC,4.847959576629745
C(CCC)C=1CCCCC1CCC(O)C=1CCCCC1CC=1CCCCC1C(=O)CC(O)CCCC,CCC(O)c1ccccc1CCCC,8.40633076400127
CCC,CC(CC)C,3.537351443191638
CCC,CCCCCCC=1CCCCC1C,9.933966200238213
CCC,CCC,7.731077773500465
CCCCCCCC(CC)(CCC)CC(=O)C,C(CC)C,4.661250621858069
C(CC)CCC,CCCCC,7.5951086338581035
CCCCCCc1ccccc1c1ccccc1CCCC,C(CCC)CC,5.173477355323331
C(=O)(CCC)C(=O)C,CC(CC)CC,2.6849285888145697
CC=1CCCCC1CCCC,CCCCCC(CCC)C,5.780743782882961
C(=O)CCC(=O)C(CC)CCC=1CCCCC1Cc1ccccc1C(CCC)C(O)CCCC,CC(=O)CCCC(O)C(CCC)C,8.006973803341008
CCCCCCCCc1ccccc1C(CCC)CCCC=1CCCCC1C,CC=CCCCC=1CCCCC1CC,5.224169469285334
CC=1CCCCC1C,CCC,7.909849978324276
C(CC)c1ccccc1c1ccccc1C(=O)C,CCC,3.7338085215974335
CCC,CCCCCC(O)CCCCCCC,7.757173453496181
C(O)CC,CCC,4.204165508620555
CC(CC)C(=O)C=1CCCCC1CC,C(O)CCCC(O)C(CCC)=Cc1ccccc1CC=1CCCCC1CCCCCC,3.9122093480255256
CCC,C(CCC)(CC)C(=O)C=1CCCCC1C(CCC)C,4.7389522945523135
CCCCc1ccccc1CCCCc1ccccc1CCCC(CCC)C=C,CC(CC)CCc1ccccc1CCCC,6.2699134392056575
CC(=O)CCCCC,C=C(CC)CC(CC)(O)C,3.9113937167432873
CCCC=1CCCCC1C,CCCCc1ccccc1C(O)CC,7.693932600412932
CCCCC(O)C(CCC)C,CC(CCC)CC=CCCCCCCC,3.104227279953879
CCCc1ccccc1C(=O)CC,C=C,4.60544265924729
C(O)C,C(=O)CC,5.403863199116966
C=C,CCCCC,9.163487388706795
C(CCC)C,CCC(CCC)CCCC=CCC,5.746427241100907
CCCCCc1ccccc1CCCCC,C(CCC)C(CCC)C,9.962159812753061
CCC(CCC)CC(O)(O)CC(CCC)CC(CCC)CCC,C(CC)CCCC(CC)(O)CCCC,3.1414277018288708
CCC,CC(O)C(CCC)CCC,4.160012520901153
CCCCCC(O)C,CCC,7.838404292902517
Cc1ccccc1c1ccccc1C,CCCCC(O)CC,3.0105845289649484
C(CC)CC,CCC,6.774859390496095
C(CC)(CCC)(CC)C(O)CCCCCc1ccccc1CC,C(=O)C,7.235835315464355
CC(CCC)=CCCC,CCCCCC(CC)=C(CC)CC(CCC)(O)CCCC,1.4045300185924328
CCC,CCCCC(CCC)CCCCC,3.914421463990333
CCCC(CC)C(=O)C,C(CC)=CCCc1ccccc1C(CCC)CCC=C,4.0194326576533665
C(=O)CC(=O)C,CCC,5.2700184805403225
CCCCCCCC(CCC)CC=C,CC(O)=CCC,8.786762175227608
CCC=1CCCCC1C=1CCCCC1C(CC)C,CCC=C=CC(CC)CC,5.319009606848443
CCCCC(O)CCCCCCC=1CCCCC1CCCCCC,CC(=O)CCc1ccccc1C,2.9870931565787346
Cc1ccccc1C,CCCCC,1.9993216965524656
C=C,CCC(O)C,1.8416419673843465
CCC,CC(=O)C,5.574112513709476
CCC=CCCC,CC=1CCCCC1C,8.654074074519153
C(=O)CCC(O)(O)CCCC,CCC(CC)C,3.679203106707752
CC(CC)=C,C(=O)C=1CCCCC1C,5.193934695962531
CCCCCc1ccccc1CCCC(O)CCCCc1ccccc1C,CCC(CC)C=1CCCCC1CC,3.3426625226934776
C(CC)(CCC)(CC)CCCC(=O)CC(CC)C(=O)CC,C(=O)=C(CC)CCCC(CCC)C,8.510538686835206
CCC=1CCCCC1C(O)CC(CCC)c1ccccc1C,CCC=CC,7.860621012189977
CCCC,Cc1ccccc1CCC(=O)CCCC,9.742477069562089
CCCc1ccccc1C,CC=1CCCCC1CCc1ccccc1CC,8.663374768121377
C=CC,C(CC)C,2.454805755684533
C(O)CC,C(=O)C=1CCCCC1C,9.06384834709983
CC=CC(O)CCC,CCC=1CCCCC1CC,3.8557319705651665
C(CCC)C,CCCC,3.4078688662757264
CCCc1ccccc1C,CCCCC=1CCCCC1CC=1CCCCC1CCC,3.433764220411768
C(O)C,CCCC=1CCCCC1CCCCC,3.4515323688145587
C(CC)c1ccccc1C,CCC(CCC)CC(CCC)C,7.531234669268264
CCc1ccccc1CC,CCCC=1CCCCC1CC(CCC)c1ccccc1CC,9.015843583742805
CCCCC=1CCCCC1CCC(CC)CC,C(CC)CC(O)C,4.188561015835404
C=C(CCC)CCC,CCCC,4.523156182763963
C(CCC)C=CC(CCC)C(CCC)C(=O)C(CC)C,CCCC,1.4953295078804016
CCCC,C(O)(CC)(CCC)CCCCCC=1CCCCC1C,7.9919840638562
CCC=1CCCCC1CCC=1CCCCC1CCCCCC,C(CCC)(CC)C,9.48369328920549
CCCCCCC=1CCCCC1CC,C(=O)CCC(CC)C,3.6490513095991974
CCC,CC=1CCCCC1CC(O)C,2.431483067256484
CCC,CCCC,9.715631443687002
C(CC)CC,CCCCCC(CC)C(CCC)c1ccccc1C(CCC)C,1.04613400216978
C(CCC)(CCC)C(CC)(CC)C=1CCCCC1C=C=CCCC,CCC(CC)C(CC)CC,6.279837213402313
CC(CC)CC=C(CCC)C=C(O)CC,CCC,9.562737767841874
CCCCC=1CCCCC1CC,C(CCC)CC(CC)C(CCC)c1ccccc1CCCC(CCC)(O)CCC,3.9802833533902446
C(CC)(CCC)C,Cc1ccccc1CC,8.586071226685934
C(CCC)CC,CCCCCC,4.7765095695641
Cc1ccccc1CC(CCC)c1ccccc1C,CC=1CCCCC1CCCCCCCCC(=O)CC(CCC)CC=1CCCCC1c1ccccc1CCCC,8.827997120645751
C(O)C,C(CC)(CC)CCCCCCC(O)(CCC)CCC(O)(CCC)Cc1ccccc1CCC,1.5773447065972341
CC=C(CC)CCCC,CCCC=C,7.578654832833983
C=C(O)c1ccccc1CC,CCc1ccccc1C=1CCCCC1CCCC(CC)C(CCC)CCCC,8.514916426204756
CCCCCCC(CC)C,C=CCCC,8.470624248316039
Cc1ccccc1CCC(O)C(CC)CC=C,C(O)(=O)C(CCC)Cc1ccccc1CCCC,3.933151287357088
CC(O)(CCC)CCC(O)c1ccccc1c1ccccc1C,C(O)CC,2.3874344879770706
CC(CCC)(CC)C,CCC,1.6495085857339202
CCC,C=C,5.972404161459782
CCC(CC)=C,CCC,5.870158874786649
CCC,CCC=1CCCCC1C(CC)C=CCCc1ccccc1C(CCC)CCCCC,4.061679848648668
CCCCc1ccccc1C,CCCCCC(=O)C,4.907537488992821
C(O)CC(CCC)CCCC,CCC(CC)C=1CCCCC1CCCC,4.7070683348323366
C=CCC(CCC)CCCC=CC,C(O)CC,7.807100881531774
CCCC,C(O)CC,6.699246263620999
CCC,C(CCC)C,3.354074040299578
Cc1ccccc1c1ccccc1C,CC(=O)C,8.558092809144782
CCC,CCCC=1CCCCC1CC(O)C,7.575180325028995
CCCCc1ccccc1CCCCCCC,CCCCC,4.82085063537771
C(CCC)CC=CC=1CCCCC1C,C(=O)C(O)C=C,9.34159865448433
CC=1CCCCC1CCC,C(CC)CCC(=O)C,3.3005756975096556
CCC,CC=1CCCCC1CC=1CCCCC1c1ccccc1CC=1CCCCC1C=1CCCCC1CC=CCC,3.8041307980183716
CCCCC,C(O)C=CCCCC(CCC)C,3.5099085586014294
Cc1ccccc1CC(=O)c1ccccc1C,C(CCC)C,5.709370067781441
CCC(O)CC=1CCCCC1CCC,CCCCCC(CC)Cc1ccccc1C,1.80123041393176
CC=CCC=CC=1CCCCC1C(O)C=CCC,CCC,3.5763574046134003
C=C,C(CCC)CC,8.357680572454491
CC=1CCCCC1C,CC=1CCCCC1C,4.554023042905915
C(=O)C,CC(=O)CC,4.710691800661648
CCC,CCCC,7.953552935663163
CC(CCC)CC=CCC,CCCC,5.392596152431666
Cc1ccccc1C=C,CCCC,2.109660132240621
CCC,Cc1ccccc1CCCC(CCC)C,7.80515852415074
CCC,C(CCC)C,4.726860036268849
CCCC(O)(O)C=1CCCCC1CC,CCCC=1CCCCC1CCC,2.021406162094947
C(CC)C(O)C(=O)CC(CCC)C,C(CCC)C=Cc1ccccc1C,1.798089074042335
C(=O)c1ccccc1CCCC=1CCCCC1C,CCC(CCC)(O)c1ccccc1CC(CC)CCC,4.640712003140063
CCC=CCC,C(CC)(CCC)=CC(O)(CCC)C,5.813442268070685
C(CCC)(O)=CCCC,CCCC=1CCCCC1CC=1CCCCC1C(CC)CCc1ccccc1C=1CCCCC1CC(CCC)C(O)C,9.458035756450347
CC(=O)C=1CCCCC1CCC,CCCCCCCCCCC,1.0188822170526883
C(=O)C=CC=C(CC)CCCCCC(=O)C,C(CCC)=CCC=CC,9.961644016694017
CCCCCCC(O)C(O)C,CCCC,6.2436288866275556
C(CC)CCCCC(CCC)=CC,CC(CC)=CCCCC,5.8525691479570146
CCCC,CCC,3.0345991632100073
C(O)=CC,CCCCCC=C,4.108811057059434
CCC(CCC)=C,CCC,9.69121731426812
CCC,CC=1CCCCC1C(CCC)(CCC)C=CCC,5.353605767264211
Cc1ccccc1CCC,C(=O)(O)CC,4.163617224763463
CC(O)(CCC)C(O)=CC(=O)C=C,C(=O)CCCC=CCC(O)C,9.56214464077122
C=C,CC=1CCCCC1CCC(CC)CCC,4.489947299177336
CC=C,Cc1ccccc1Cc1ccccc1Cc1ccccc1C(O)CCC(O)CC,7.810743632983367
C=CC,CCCCC,6.713001911330401
CCCc1ccccc1CCCC,C(=O)C=1CCCCC1CC,1.8091258571790916
CCC,CCCCCC=1CCCCC1C,6.603055610516407
CC(CCC)C=CC,CCCCC=1CCCCC1C,8.920332409739153
C(=O)=C,C(=O)CCC,5.583548183616635
CCC,C(CCC)CCC,1.6262937934164472
CC(CCC)CCCC,C(CCC)CCC,2.6455328492066226
CC(CC)(O)C,CCC(CC)C(CC)CCCC,9.466817651319896
C(CCC)C(CCC)CCCCCC(CC)=C,CCCC,1.829809309144354
CCC,CCCCC,4.218190900456006
CCC,CCCC,7.735722554828168
CC=1CCCCC1CC,CCc1ccccc1CCCCCCC,1.995676077930288
CCC=C(CC)C(CCC)CCC,CCCC=1CCCCC1c1ccccc1CCCC,5.12499111430341
CCCCC(O)C,CCCCc1ccccc1Cc1ccccc1CC(O)(CC)CC,9.219180526419114
CCCCCC,CCCCCCC,2.7045551174387574
CCC=CC,C(=O)C=CC(CCC)CC,2.7176461599900748
Cc1ccccc1CCCCCC,C(=O)(O)C,4.388577197978476
C(CCC)CCC(CC)CCCC,CC(O)CCC,4.810923262303062
CCCC(O)CCC(O)C,CCC,2.8611393159313567
CCC,CC=CC(O)CC,1.6317727360544723
Cc1ccccc1CCC,CCCC,1.5300135489107043
CCC,CC(O)Cc1ccccc1CCC(O)C(CC)=CC,9.768315097038528
C(O)CCC,CC(=O)CCCCCCC=CCCCC,3.6213799231259047
C(=O)C,CCC,7.071165753014081
CC=1CCCCC1C(O)c1ccccc1C(CCC)C=CC,CCCCC,2.6346202825601965
CCCCCc1ccccc1C,CCCCC,5.941039946098414
CC(CCC)(CCC)C,CCC,1.407149656447587
CCCC=1CCCCC1CC(CC)CCC,CCC(CCC)C(CCC)CC=CC,7.06417820364234
CCCC(=O)CCCCC,C(O)(=O)C=1CCCCC1CCC,8.931264103985566
C(CC)CCC(O)CCCCCCC(O)=CCCC,C(CC)C,8.790199170718614
CC(=O)C,CC(O)CCC(CCC)CC,5.677710250881907
CCCC,C(CCC)CCC(CC)(CCC)C=1CCCCC1CCCC,4.539688050521821
CCC,CCCCCCCC,7.437002088221798
C(CC)(O)(CCC)CC(O)C=1CCCCC1C,CC(CC)=C(O)CCCCCCCCC=1CCCCC1CCC,4.444095009931502
CCCCC=1CCCCC1CC=CC,C(=O)CC(CC)C(CCC)C,7.193600423648995
CC(=O)CC(CC)(O)C(=O)C(CCC)CCC=1CCCCC1C=1CCCCC1CC=1CCCCC1C,C(CCC)CC,8.312286619863503
CCCCC=C(CCC)C(CCC)(CC)C(CC)CC(CCC)c1ccccc1C,CCCCC,5.7701229087441375
C(CCC)C(O)C,C(O)c1ccccc1C=1CCCCC1CC,7.927502837612077
CCCCC(=O)CC,C(O)CCC,6.65136411797881
CCC=1CCCCC1C,CCCC,4.907898450704969
CC=1CCCCC1C,CC=1CCCCC1CCCCCCCC,6.914631169250693
CC(CC)C(=O)C,CCC,5.638741527482723
C(=O)CCCC(O)c1ccccc1CC=1CCCCC1C(CC)=CCCC,CCCC(CCC)=C,9.199993978867827
C(=O)C,CCC(CCC)c1ccccc1CCCC(=O)CCCCC(CC)C(CC)CC,9.59818819418463
CCC,CCC,5.699723522694414
Cc1ccccc1C,CCCCCC(CCC)C(CC)CC=1CCCCC1CC,4.169277327443384
CC(CCC)CCC(O)(O)c1ccccc1C(CCC)CCC,CCC(O)(CCC)C(O)C=1CCCCC1CC,9.992295255801569
